AHL_GP,AHL_total_TOI,AHL_goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,AHL_shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,NHL_TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,9,1,3,4,2,6,0.44,0,1,0,0,0,0,10,10,992,22.3,50.6
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,51,8,7,15,-7,16,0.29,1,3,1,2,1,0,75,10.7,1035,23.3,44.1
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,14,1,1,2,1,0,0.14,0,0,0,0,0,0,15,6.7,716,18.2,47.5
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,66,7,13,20,-2,24,0.3,0,1,0,1,2,0,106,6.6,883,20.8,43.9
10,8561,0,0,1,0,0,1,23,19,100,78,14,16,15,15,2,3,106,95,81,2,12,14,-13,18,0.17,0,0,0,1,1,0,101,2,686,16.7,40.3
18,16268,3,2,1,0,2,0,53,41,221,155,31,42,34,12,7,4,211,187,3,1,1,2,2,4,0.67,0,0,0,0,1,0,5,20,516,14,0
18,16268,3,2,1,0,2,0,53,41,221,155,31,42,34,12,7,4,211,187,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,416,12.3,0
18,16268,3,2,1,0,2,0,53,41,221,155,31,42,34,12,7,4,211,187,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,416,12.3,0
25,29848,11,3,2,0,3,2,108,77,446,299,46,51,41,22,2,5,379,251,56,2,3,5,-11,16,0.09,0,0,0,0,0,0,64,3.1,757,19.9,48.3
25,29848,11,3,2,0,3,2,108,77,446,299,46,51,41,22,2,5,379,251,6,0,0,0,-3,5,0,0,0,0,0,0,0,6,0,633,15.8,46.4
25,29848,11,3,2,0,3,2,108,77,446,299,46,51,41,22,2,5,379,251,6,0,0,0,-3,5,0,0,0,0,0,0,0,6,0,633,15.8,46.4
28,31599,1,2,4,0,0,2,106,87,515,406,20,97,82,94,8,5,389,415,11,1,0,1,-3,16,0.09,0,0,0,0,0,0,4,25,763,18,0
28,31599,1,2,4,0,0,2,106,87,515,406,20,97,82,94,8,5,389,415,9,0,0,0,1,7,0,0,0,0,0,0,0,9,0,830,19.2,0
28,31599,1,2,4,0,0,2,106,87,515,406,20,97,82,94,8,5,389,415,12,1,3,4,1,13,0.33,0,0,0,0,0,0,8,12.5,751,17.9,0
28,31599,1,2,4,0,0,2,106,87,515,406,20,97,82,94,8,5,389,415,12,1,3,4,1,13,0.33,0,0,0,0,0,0,8,12.5,751,17.9,0
10,9856,2,4,3,0,3,3,30,26,209,146,26,8,27,7,0,2,134,82,3,1,0,1,1,0,0.33,0,0,0,0,0,0,1,100,402,10.3,42.9
23,25649,3,5,0,0,2,0,51,38,252,168,34,59,37,55,3,7,249,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,20,0
14,15795,4,2,2,0,1,1,44,38,305,248,45,30,34,10,5,6,252,150,20,0,3,3,3,4,0.15,0,0,0,0,0,0,22,0,737,19.4,51
14,15795,4,2,2,0,1,1,44,38,305,248,45,30,34,10,5,6,252,150,27,3,4,7,2,4,0.26,0,0,0,0,1,0,24,12.5,658,16.3,48
14,15795,4,2,2,0,1,1,44,38,305,248,45,30,34,10,5,6,252,150,20,0,3,3,3,4,0.15,0,0,0,0,0,0,22,0,737,19.4,51
14,15795,4,2,2,0,1,1,44,38,305,248,45,30,34,10,5,6,252,150,27,3,4,7,2,4,0.26,0,0,0,0,1,0,24,12.5,658,16.3,48
24,27482,7,2,1,0,1,1,112,93,481,378,65,75,91,30,2,5,368,343,6,1,0,1,1,2,0.17,0,0,0,0,0,0,9,11.1,542,12,0
17,20662,4,0,2,0,0,0,75,51,414,291,8,38,69,33,6,3,226,236,7,0,4,4,1,8,0.57,0,2,0,0,0,0,5,0,889,23.1,0
24,27482,7,2,1,0,1,1,112,93,481,378,65,75,91,30,2,5,368,343,7,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,479,11.1,0
17,20662,4,0,2,0,0,0,75,51,414,291,8,38,69,33,6,3,226,236,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0,756,19.7,0
24,27482,7,2,1,0,1,1,112,93,481,378,65,75,91,30,2,5,368,343,7,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,479,11.1,0
17,20662,4,0,2,0,0,0,75,51,414,291,8,38,69,33,6,3,226,236,11,0,0,0,-3,4,0,0,0,0,0,0,0,10,0,756,19.7,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,851,18.6,0
26,31867,1,2,2,0,1,1,95,64,570,373,20,108,106,84,3,6,331,345,10,0,3,3,-3,0,0.3,0,0,0,0,0,0,3,0,732,17.7,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,21,0,1,1,-3,2,0.05,0,1,0,0,0,0,35,0,1072,23.1,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,4,0,1,1,3,0,0.25,0,0,0,0,0,0,4,0,747,16.5,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,930,23,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,6,0,0,0,-3,4,0,0,0,0,0,0,0,11,0,846,20.7,0
17,23509,2,5,2,0,5,2,134,112,495,386,19,57,105,58,3,2,336,230,34,2,8,10,9,8,0.29,0,3,0,0,0,0,45,4.4,1040,23.7,0
