id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8468704,Antti Miettinen,0.14285714285714285,EURO,0.35714285714285715,0.27884615384615385,R,2000,224,999999999,0.8555555555555555,0.410958904109589,0.5392156862745098,0.5379746835443038,0.07933194154488518,0.552,0.3,0.09523809523809523,0.23076923076923078,0.17391304347826086,0.016666666666666666,0.375,169,2172,yes
8468712,Lubomir Sekeras,1.0,EURO,0.35714285714285715,0.21153846153846154,D,2000,232,999999999,0.6555555555555556,0.1232876712328767,0.27450980392156865,0.23417721518987342,0.08768267223382047,0.552,0.13333333333333333,0.0,0.07692307692307693,0.043478260869565216,0.016666666666666666,0.375,213,4455,yes
8468714,Janis Sprukts,0.0,EURO,0.5714285714285714,0.7115384615384616,C,2000,234,999999999,0.5,0.1506849315068493,0.10784313725490197,0.13924050632911392,0.04592901878914405,0.552,0.1,0.0,0.0,0.0,0.0,0.375,13,82,yes
8468726,Chad Wiseman,0.07142857142857142,CAN,0.42857142857142855,0.4230769230769231,L,2000,246,999999999,0.7555555555555555,0.3150684931506849,0.4411764705882353,0.43037974683544306,0.11064718162839249,0.552,0.0,0.0,0.0,0.0,0.0,0.375,9,81,yes
8468743,Thomas Ziegler,0.2857142857142857,EURO,0.2857142857142857,0.14423076923076922,C,2000,263,999999999,0.6666666666666666,0.1232876712328767,0.08823529411764706,0.11392405063291139,0.05010438413361169,0.552,0.3,0.047619047619047616,0.19230769230769232,0.13043478260869565,0.13333333333333333,0.375,5,25,yes
8468747,Tomi Pettinen,0.35714285714285715,EURO,0.5714285714285714,0.5673076923076923,D,2000,267,999999999,0.5666666666666667,0.0136986301369863,0.058823529411764705,0.04430379746835443,0.17536534446764093,0.552,0.1,0.047619047619047616,0.07692307692307693,0.06521739130434782,0.016666666666666666,0.375,24,329,yes
8468748,Pavel Kolarik,0.7142857142857143,EURO,0.42857142857142855,0.4423076923076923,D,2000,268,999999999,0.5777777777777777,0.0684931506849315,0.029411764705882353,0.05063291139240506,0.07933194154488518,0.552,0.0,0.0,0.0,0.0,0.0,0.375,23,176,yes
8468750,Micki Dupont,0.14285714285714285,CAN,0.21428571428571427,0.2403846153846154,D,2000,270,999999999,0.7888888888888889,0.3561643835616438,0.6078431372549019,0.5569620253164557,0.325678496868476,0.552,0.36666666666666664,0.09523809523809523,0.15384615384615385,0.13043478260869565,0.14166666666666666,0.375,21,338,yes
8468751,Reto Von Arx,0.42857142857142855,EURO,0.21428571428571427,0.17307692307692307,L,2000,271,999999999,0.5777777777777777,0.273972602739726,0.27450980392156865,0.3037974683544304,0.15031315240083507,0.552,0.16666666666666666,0.09523809523809523,0.0,0.043478260869565216,0.08333333333333333,0.375,19,217,yes
8468753,Roman Simicek,0.7857142857142857,EURO,0.5,0.47115384615384615,C,2000,273,999999999,0.25555555555555554,0.136986301369863,0.16666666666666666,0.17088607594936708,0.10438413361169102,0.552,0.26666666666666666,0.09523809523809523,0.15384615384615385,0.13043478260869565,0.08333333333333333,0.375,63,709,yes
8468766,Andrej Nedorost,0.14285714285714285,EURO,0.42857142857142855,0.36538461538461536,L,2000,286,999999999,0.7333333333333333,0.0958904109589041,0.049019607843137254,0.0759493670886076,0.0918580375782881,0.552,0.0,0.0,0.0,0.0,0.0,0.375,28,318,yes
8468770,Simon Gamache,0.07142857142857142,CAN,0.21428571428571427,0.2403846153846154,L,2000,290,999999999,0.8,0.8767123287671232,0.7745098039215687,0.9050632911392406,0.1544885177453027,0.552,0.0,0.0,0.0,0.0,0.0,0.375,37,390,yes
8469491,Karel Pilar,0.42857142857142855,EURO,0.5714285714285714,0.4423076923076923,D,2001,39,999999999,0.6777777777777778,0.1643835616438356,0.2549019607843137,0.24050632911392406,0.12108559498956159,0.552,0.13333333333333333,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.20833333333333334,0.375,90,1586,yes
8469502,Jaroslav Bednar,0.5,EURO,0.35714285714285715,0.3557692307692308,C,2001,51,999999999,0.6222222222222222,0.4383561643835616,0.27450980392156865,0.379746835443038,0.10647181628392484,0.552,0.16666666666666666,0.14285714285714285,0.038461538461538464,0.08695652173913043,0.0,0.375,102,1350,yes
8469542,Stephane Veilleux,0.14285714285714285,CAN,0.42857142857142855,0.375,L,2001,93,999999999,0.8111111111111111,0.6986301369863014,0.6862745098039216,0.7658227848101266,0.20041753653444677,0.552,0.8666666666666667,0.8571428571428571,0.8076923076923077,0.8478260869565217,0.4,0.375,280,3691,yes
8469551,Timo Parssinen,0.42857142857142855,EURO,0.21428571428571427,0.33653846153846156,L,2001,102,999999999,0.7,0.273972602739726,0.3627450980392157,0.36075949367088606,0.12108559498956159,0.552,0.0,0.0,0.0,0.0,0.0,0.375,17,199,yes
8469552,Tony Virta,0.7857142857142857,EURO,0.21428571428571427,0.25,R,2001,103,999999999,0.7222222222222222,0.3972602739726027,0.37254901960784315,0.4240506329113924,0.054279749478079335,0.552,0.3333333333333333,0.09523809523809523,0.19230769230769232,0.15217391304347827,0.05,0.375,8,107,yes
8469558,Martti Jarventie,0.5,EURO,0.2857142857142857,0.33653846153846156,D,2001,109,999999999,0.6222222222222222,0.0684931506849315,0.13725490196078433,0.12025316455696203,0.14822546972860126,0.552,0.3333333333333333,0.047619047619047616,0.07692307692307693,0.06521739130434782,0.03333333333333333,0.375,1,13,yes
8469575,Christoph Schubert,0.07142857142857142,EURO,0.5714285714285714,0.6634615384615384,D,2001,127,999999999,0.7111111111111111,0.0958904109589041,0.0392156862745098,0.06962025316455696,0.18789144050104384,0.552,0.3333333333333333,0.0,0.07692307692307693,0.043478260869565216,0.225,0.375,218,2631,yes
8469598,Kevin Bieksa,0.14285714285714285,CAN,0.42857142857142855,0.375,D,2001,151,999999999,0.3888888888888889,0.0547945205479452,0.08823529411764706,0.08227848101265822,0.18789144050104384,0.552,0.0,0.0,0.0,0.0,0.0,0.375,154,3389,yes
8469610,Andreas Salomonsson,0.7142857142857143,EURO,0.42857142857142855,0.375,C,2001,163,999999999,0.6333333333333333,0.1917808219178082,0.11764705882352941,0.16455696202531644,0.10438413361169102,0.552,0.43333333333333335,0.14285714285714285,0.15384615384615385,0.15217391304347827,0.25833333333333336,0.375,71,809,yes
8469615,Maxim Kondratiev,0.0,EURO,0.42857142857142855,0.34615384615384615,D,2001,168,999999999,0.2,0.0273972602739726,0.00980392156862745,0.0189873417721519,0.05010438413361169,0.552,0.0,0.0,0.0,0.0,0.0,0.375,40,611,yes
8469619,Dennis Seidenberg,0.14285714285714285,EURO,0.35714285714285715,0.3557692307692308,D,2001,172,999999999,0.8444444444444444,0.0821917808219178,0.16666666666666666,0.14556962025316456,0.06263048016701461,0.552,0.4,0.0,0.038461538461538464,0.021739130434782608,0.08333333333333333,0.375,225,3859,yes
8469623,Marek Zidlicky,0.42857142857142855,EURO,0.2857142857142857,0.27884615384615385,D,2001,176,999999999,0.5666666666666667,0.1643835616438356,0.24509803921568626,0.23417721518987342,0.3048016701461378,0.552,0.16666666666666666,0.0,0.038461538461538464,0.021739130434782608,0.05,0.375,307,6189,yes
