@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
28,EURO,73,207,D,?,52,5,3,8,38,0,?,?,?,?,?,?,23
23,EURO,75,220,D,?,51,1,6,7,84,0,3,1,2,3,2,0,24
18,EURO,75,210,R,?,74,11,15,26,64,0,5,0,0,0,0,0,27
19,CAN,73,197,R,90,65,24,30,54,166,0,?,?,?,?,?,?,28
20,EURO,73,199,L,?,66,7,5,12,44,0,?,?,?,?,?,?,28
26,EURO,69,180,R,?,43,22,25,47,58,0,8,2,5,7,6,0,30
18,EURO,73,194,C,36,35,12,17,29,8,0,6,2,3,5,2,0,36
19,CAN,70,186,L,?,72,64,79,143,74,0,?,?,?,?,?,?,37
19,CAN,73,200,L,190,71,33,40,73,121,0,11,4,0,4,25,0,38
26,EURO,70,190,R,?,62,20,31,51,88,0,8,4,2,6,12,0,38
27,EURO,74,200,R,?,56,15,27,42,42,0,8,3,3,6,4,0,38
18,EURO,73,186,L,65,31,17,16,33,0,0,?,?,?,?,?,?,43
19,CAN,75,209,C,11,70,23,32,55,62,0,7,1,6,7,6,0,45
19,EURO,74,200,L,56,49,53,51,104,72,0,?,?,?,?,?,?,49
18,EURO,75,215,L,3,54,11,12,23,74,0,?,?,?,?,?,?,52
18,EURO,75,202,C,2,36,16,26,42,18,0,?,?,?,?,?,?,53
18,EURO,72,194,R,1,58,24,22,46,36,0,10,2,2,4,0,0,57
29,EURO,74,210,C,?,23,10,17,27,50,0,8,2,4,6,10,0,63
20,CAN,74,210,L,?,72,67,91,158,209,39,14,16,17,33,26,0,68
20,CAN,71,201,D,200,42,3,26,29,56,0,?,?,?,?,?,?,70
24,EURO,68,170,R,?,41,16,23,39,28,0,17,8,4,12,10,0,71
20,CAN,71,185,L,58,44,17,23,40,30,0,?,?,?,?,?,?,78
19,USA,77,230,L,36,40,9,9,18,54,0,?,?,?,?,?,?,78
20,CAN,71,180,C,?,60,40,36,76,52,18,16,4,12,16,16,0,81
20,CAN,69,191,C,?,63,35,54,89,216,0,30,8,17,25,120,0,87
18,EURO,73,190,C,6,65,16,15,31,16,0,3,0,0,0,0,0,99
19,USA,75,207,L,10,46,11,14,25,24,0,?,?,?,?,?,?,100
27,EURO,74,198,D,?,51,8,10,18,82,0,11,0,0,0,8,0,102
28,EURO,70,188,D,?,49,17,27,44,20,0,5,0,3,3,0,0,112
19,CAN,74,195,C,27,42,16,16,32,48,0,?,?,?,?,?,?,115
19,EURO,72,194,D,26,44,6,5,11,26,0,8,0,0,0,8,0,115
19,CAN,77,225,D,26,68,6,18,24,116,0,5,1,2,3,4,0,120
18,CAN,73,193,R,70,72,36,53,89,38,0,14,4,5,9,14,0,123
18,USA,77,227,C,?,56,6,8,14,110,0,?,?,?,?,?,?,133
20,CAN,72,192,C,48,30,12,24,28,16,0,?,?,?,?,?,?,156
19,USA,73,222,D,25,54,6,18,24,187,0,5,0,2,2,6,0,157
19,EURO,78,227,R,7,64,24,29,53,42,0,13,4,3,7,6,0,159
18,CAN,72,199,R,5,71,36,49,85,42,0,13,6,8,14,10,0,164
19,USA,70,188,L,29,42,18,16,34,39,0,?,?,?,?,?,?,166
19,USA,75,210,D,9,37,4,9,13,24,0,?,?,?,?,?,?,167
20,EURO,72,190,R,?,77,30,55,85,38,0,9,2,6,8,2,0,169
19,EURO,75,220,L,20,67,24,30,54,66,0,?,?,?,?,?,?,187
20,USA,77,235,L,?,58,32,21,53,134,4,13,5,5,10,22,0,199
18,CAN,72,193,C,12,66,23,39,62,131,0,12,3,5,8,21,0,200
18,CAN,74,215,L,113,66,9,6,15,96,0,5,1,1,2,2,0,203
32,EURO,72,183,D,?,59,9,28,37,42,0,4,0,2,2,2,0,213
18,CAN,73,198,C,15,71,30,41,71,87,0,6,0,1,1,6,0,216
20,USA,75,219,D,4,45,2,10,12,108,0,?,?,?,?,?,?,219
18,EURO,73,220,D,10,42,3,10,13,52,0,?,?,?,?,?,?,229
20,USA,70,185,D,103,40,8,20,28,26,0,?,?,?,?,?,?,232
19,USA,73,200,D,18,24,15,35,50,26,0,?,?,?,?,?,?,232
19,USA,76,222,D,43,71,3,12,15,48,0,15,2,1,3,8,0,234
18,CAN,74,208,C,8,47,18,17,35,102,0,4,1,1,2,12,0,254
20,CAN,73,215,L,?,63,6,8,14,269,0,11,4,2,6,43,0,257
19,CAN,72,215,L,6,68,43,48,91,40,0,6,5,2,7,23,0,275
20,CAN,73,205,L,24,53,20,12,32,94,0,11,2,6,8,30,0,278
18,EURO,74,210,L,7,52,38,22,60,52,0,?,?,?,?,?,?,307
25,EURO,75,220,D,?,49,8,11,19,88,0,6,0,0,0,8,0,319
18,EURO,75,215,D,2,67,16,29,45,174,0,6,1,1,2,21,0,328
25,EURO,75,220,D,?,53,8,10,18,83,0,11,2,1,3,14,0,340
19,EURO,75,212,L,1,49,32,32,64,36,0,?,?,?,?,?,?,354
18,CAN,73,203,D,68,75,11,34,45,38,0,6,0,3,3,2,0,367
18,EURO,73,205,R,4,63,34,24,58,46,0,5,1,2,3,2,0,408
24,EURO,70,192,D,?,61,21,30,51,40,0,8,5,3,8,16,0,417
19,CAN,73,188,R,19,68,37,46,83,46,0,23,14,16,30,10,0,422
18,CAN,74,215,L,3,62,27,55,82,124,0,6,3,2,5,6,0,436
