@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0,CAN,0.5,0.455446,C,0.104839,0.72,0.25641,0.3,0.281915,0.411565,0.449541,0.448276,0.136364,0.133333,0.152174,0.264706,0.103448,89
0,CAN,0.625,0.356436,L,0.112903,0.53,0.410256,0.5,0.462766,0.547619,0.357798,0.482759,0.454545,0.3,0.413043,0.529412,0.310345,2
0,CAN,0.5,0.376238,C,0.112903,0.72,0.230769,0.345455,0.297872,0.081633,0.348624,0,0,0,0,0,0.310345,3
0.111111,CAN,0.75,0.574257,D,0.116935,0.66,0.038462,0.145455,0.101064,0.333333,0.642202,0.275862,0,0.066667,0.043478,0.147059,0.344828,158
0,EURO,0.6875,0.415842,R,0.116935,0.46,0.102564,0.127273,0.117021,0.136054,0.357798,0.206897,0.136364,0.033333,0.086957,0,0.310345,2
0.111111,USA,0.5625,0.465347,C,0.116935,0.56,0.448718,0.363636,0.398936,0.234694,0.587156,0.37931,0.136364,0.433333,0.347826,0.235294,0.62069,203
0.111111,CAN,0.75,0.554455,D,0.120968,0.71,0.064103,0.245455,0.170213,0.166667,0.486239,0.241379,0,0,0,0.088235,0.310345,78
0.111111,USA,0.5625,0.455446,D,0.120968,0.29,0.346154,0.345455,0.345745,0.115646,0.357798,0,0,0,0,0,0.310345,370
0,USA,1,0.90099,D,0.125,0.55,0.038462,0.090909,0.069149,0.615646,0.192661,0,0,0,0,0,0.310345,5
0,EURO,0.5,0.386139,D,0.125,0.54,0.166667,0.318182,0.255319,0.193878,0.366972,0.172414,0.090909,0.033333,0.065217,0.029412,0.275862,5
