id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
25698,"Jan Bohac",18,EURO,75,201,C,2000,87,25,60,9,12,21,12,6,7,0,1,1,4,0,0,no,8.516822,0.00020003423036423211,4
26581,"Jean-Francois Soucy",19,CAN,77,203,L,2001,252,176,65,6,12,18,94,1,0,0,0,0,0,0,0,no,4.417953999999999,0.011915195620948149,4
27219,"Tomas Skvaridlo",18,EURO,74,209,R,1999,144,22,52,22,13,35,46,11,0,0,0,0,0,0,0,no,8.536999999999997,0.00019603917262122248,4
27901,"Jerome Marois",18,CAN,73,194,L,1999,253,95,52,8,15,23,48,12,12,0,4,4,13,0,0,no,2.9051679999999966,0.05189868087874371,4
27991,"Premysl Duben",19,EURO,75,216,D,2000,112,77,46,4,3,7,46,11,11,0,1,1,4,0,0,no,8.069819,0.0003127420617681212,4
28514,"Ladislav Vlcek",19,EURO,73,185,C,2000,192,211,60,22,18,40,24,4,5,2,2,4,4,0,0,no,4.6837059999999955,0.009160008073473605,4
28602,"Martin Cizek",18,EURO,74,203,D,2002,271,25,50,2,6,8,34,7,0,0,0,0,0,0,0,no,10.767299999999999,0.000021077149268642865,4
30842,"Vaclav Zavoral",18,EURO,75,214,D,1999,151,10,51,3,10,13,4,1,0,0,0,0,0,0,0,no,10.397991000000001,0.000030492753485529872,4
38457,"Marek Dubec",19,EURO,72,190,L,2001,247,176,45,27,15,42,52,30,8,7,2,9,20,7,0,no,283.71526600000004,6.081707718306518e-124,4
41413,"Mathieu Brunelle",19,CAN,71,176,L,2002,201,120,72,43,64,107,105,14,22,11,13,24,49,14,0,no,555.340361,6.5878793896051026e-242,4
42370,"Patrick Aufiero",19,USA,72,205,D,1999,90,47,22,3,4,7,14,4,0,0,0,0,0,0,0,no,7.398268999999998,0.0006119370596991243,4
43685,"David Turon",19,EURO,74,198,D,2002,122,28,55,5,12,17,85,18,0,0,0,0,0,0,0,no,10.24631,0.000035486951672105126,4
44320,"Pavel Duma",19,EURO,74,198,D,2000,144,211,44,3,8,11,20,9,7,0,0,0,2,0,0,no,7.299008999999999,0.0006757516169147542,4
45900,"Josef Vavra",18,EURO,72,183,L,2002,246,120,35,3,12,15,39,1,0,0,0,0,0,0,0,no,10.106793999999999,0.000040799741980793585,4
48284,"Maxim Shchevyev",18,EURO,72,198,C,2002,178,16,57,7,14,21,36,3,0,0,0,0,0,0,0,no,9.975754999999998,0.00004651193958683294,4
49474,"Jean-Francois Dufort",20,CAN,74,201,L,2002,205,120,68,22,41,63,267,21,16,4,9,13,24,3,0,no,118.39263899999999,3.82586978305232e-52,4
51175,"Tyler Boldt",18,CAN,74,198,D,2002,236,120,62,5,14,19,76,13,4,1,0,1,0,0,0,no,5.735306999999998,0.0032194920325156503,4
52122,"Michal Blazek",19,EURO,74,187,D,2001,167,99,45,9,12,21,110,29,7,0,6,6,6,7,0,no,289.54647900000003,1.7846864066520106e-126,4
53141,"Peter Polcik",18,EURO,76,190,L,2001,254,73,4,1,1,2,2,2,0,0,0,0,0,0,0,no,11.241301999999996,0.000013120756437113818,4
57630,"Jan Kubista",18,EURO,72,185,R,2002,130,17,49,13,12,25,40,6,6,0,2,2,0,3,0,no,131.401731,8.569457202345512e-58,4
