id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8467488,Erik Westrum,19,USA,USA,72,204,C,1998,187,,39,6,12,18,43,0,0,0,0,0,0,0,15,240,yes
8467493,Chris Neil,19,CAN,CAN,73,209,R,1998,161,,59,26,29,55,231,0,0,0,0,0,0,0,222,1846,yes
8467514,Pavel Datsyuk,20,RUS,EURO,71,194,C,1998,171,,46,10,13,23,8,0,0,0,0,0,0,0,209,3313,yes
8467516,Niko Kapanen,20,FIN,EURO,68,180,C,1998,173,,57,11,24,35,46,0,0,0,0,0,0,0,158,2060,yes
8467519,Karlis Skrastins,24,LVA,EURO,74,208,D,1998,230,,54,4,16,20,73,0,4,0,0,0,0,0,389,7958,yes
8467527,Jan Mertzig,28,SWE,EURO,76,218,D,1998,235,,45,7,8,15,27,0,3,1,0,1,4,0,23,277,yes
8467534,Johan Witehall,26,SWE,EURO,73,198,L,1998,207,,47,15,4,19,36,0,2,0,0,0,2,0,54,497,yes
8467540,Jim Fahey,19,USA,USA,72,205,D,1998,212,,24,12,32,44,28,0,0,0,0,0,0,0,58,1042,yes
8467541,Petr Hubacek,19,CZE,EURO,74,185,C,1998,243,,65,15,15,30,0,0,0,0,0,0,0,0,6,68,yes
8467543,Toby Petersen,20,USA,USA,70,195,C,1998,244,,47,16,19,35,34,0,0,0,0,0,0,0,91,1128,yes
8467545,Michael Ryder,18,CAN,CAN,73,200,R,1998,216,,69,34,28,62,41,0,10,4,2,6,4,0,81,1296,yes
8467550,David Moravec,25,CZE,EURO,72,180,R,1998,218,,57,38,27,65,30,0,11,6,9,15,8,0,1,15,yes
8467553,Michael Farrell,20,USA,USA,72,220,R,1998,220,,33,5,8,13,32,0,0,0,0,0,0,0,13,61,yes
8467558,Bruno St. Jacques,18,CAN,CAN,74,210,D,1998,253,,63,1,11,12,140,0,0,0,0,0,0,0,66,927,yes
8467564,Matt Hussey,19,USA,USA,74,212,C,1998,254,,26,26,23,49,20,0,0,0,0,0,0,0,3,41,yes
8467565,John Pohl,19,USA,USA,73,196,C,1998,255,,38,35,80,115,28,0,0,0,0,0,0,0,1,8,yes
8467594,Jeff MacMillan,20,CAN,CAN,75,210,D,1999,215,,65,3,18,21,109,0,15,3,6,9,28,0,4,33,yes
